Compte;Intitulé;Solde ant Dbt (réf);Solde ant Cdt (réf);Débit période (réf);Crédit période (réf);Solde pér Dbt (réf);Solde pér Cdt (réf);Solde fin Dbt (réf);Solde fin Cdt (réf)
43220101;R/S  10,0% P PHYSIQUE;0;0;1241,4;1241,4;0;0;0;0
43220102;R/S  10,0% P MORALE;0;0;2313,36;2313,36;0;0;0;0
43413000;RS / PLACEMENT;0;0;6976,45;0;6976,45;0;6976,45;0
43414000;RS / INTERET CREDITEUR ;0;0;3860,08;0;3860,08;0;3860,08;0
43441000;REPORT IMPÖT ;0;0;44884,41;0;44884,41;0;44884,41;0
43661070;TVA DED-ACHATS LOCAUX  7%;0;0;1219,13;0;1219,13;0;1219,13;0
43661130;TVA DED-ACHATS LOCAUX  13%;0;0;13,31;0;13,31;0;13,31;0
43661190;TVA DED-ACHATS LOCAUX 19%;0;0;89754,99;10,37;89744,61;0;89744,61;0
43662107;TVA DED-IMMO LOCAUX  7%;0;0;7811,57;0;7811,57;0;7811,57;0
43662119;TVA DED-IMMO LOCAUX 19%;0;0;803083,02;18130,36;784952,66;0;784952,66;0
43662219;TVA DED-IMMO IMPORTES  19%;0;0;813889,58;100,87;813788,71;0;813788,71;0
43666270;TVA / COMMISSION BANCAIRES ;0;0;8358,2;0;8358,2;0;8358,2;0
43666650;TVA / INTERET LEASING;0;0;2321,04;0;2321,04;0;2321,04;0
43667000;CREDIT DE TVA A REPORTER;0;0;1867210,62;0;1867210,62;0;1867210,62;0
43670700;TVA COL 7%;0;0;135,42;0;135,42;0;135,42;0
43711000;TFP;0;0;13428,6;13428,6;0;0;0;0
43712000;FOPROLOS;0;0;13428,6;13428,6;0;0;0;0
4377000;DECLARATION MENSUELLE A PAYER ;0;0;443742,71;597687,34;0;153944,62;0;153944,62
44200000;ASSOCIES - COMPTES COURANTS;0;0;0;130000;0;130000;0;130000
45311000;CNSS;0;0;369783,07;493068,6;0;123285,53;0;123285,53
45770000;AUTRES COMPTES CREDITEURS;0;0;211177,99;125056,13;86121,85;0;86121,85;0
45860000;CHARGES A PAYER;0;0;370256,66;375811,47;0;5554,8;0;5554,8
46100000;COMPTE D ATTENTE;0;0;3997,36;0;3997,36;0;3997,36;0
46510000;DIFF CONVERSACTIF;0;0;370;370;0;0;0;0
47100000;CHARGES CONSTATEES D AVANCE;0;0;113753,71;113753,71;0;0;0;0
47800000;CPT REPAR PERIOD DE CH & PR;0;0;7414;4174,89;3239,1;0;3239,1;0
50520000;ECH-1 AN /EMP LEAS NON COURANT;0;0;78098,74;253611,21;0;175512,46;0;175512,46
50800000;INTERETS COURUS;0;0;0;163323,47;0;163323,47;0;163323,47
